Order_ID,Supplier,SKU,Product_Type,Ordered_Quantity,Unit_Cost,Order_Date,Supplier_Lead_Time_Days,Manufacturing_Lead_Time_Days,Inspection_Result,Defect_Rate,Location,Revenue,Total_Cost,Avg_Lead_Time
1001,S2,SKU-1,Skincare,76,371.63,2025-01-01 00:00:00,17,12,Pending,2.46,Kolkata,3690.62,28243.88,29
1002,S5,SKU-2,Cosmetics,16,211.81,2025-01-02 00:00:00,16,19,Pass,1.12,Bangalore,1898.24,3388.96,35
1003,S4,SKU-3,Haircare,90,123.43,2025-01-03 00:00:00,18,17,Fail,5.28,Kolkata,3369.52,11108.7,35
1004,S3,SKU-4,Haircare,90,17.64,2025-01-04 00:00:00,16,12,Pass,4.49,Kolkata,2384.59,1587.6,28
1005,S1,SKU-5,Skincare,48,351.45,2025-01-05 00:00:00,12,9,Pass,1.79,Bangalore,3427.35,16869.6,21
1006,S1,SKU-6,Haircare,85,349.36,2025-01-06 00:00:00,12,17,Fail,3.44,Chennai,1191.58,29695.6,29
1007,S1,SKU-7,Cosmetics,39,97.03,2025-01-07 00:00:00,24,19,Fail,5.41,Chennai,1229.93,3784.17,43
1008,S5,SKU-8,Skincare,33,264.62,2025-01-08 00:00:00,17,8,Pass,4.92,Kolkata,1289.48,8732.46,25
1009,S4,SKU-9,Cosmetics,94,29.77,2025-01-09 00:00:00,14,16,Fail,3.5,Bangalore,5669.01,2798.38,30
1010,S4,SKU-10,Cosmetics,23,64.16,2025-01-10 00:00:00,13,17,Pending,5.02,Chennai,4530.94,1475.68,30
1011,S1,SKU-11,Haircare,10,83.33,2025-01-11 00:00:00,17,6,Fail,5.45,Bangalore,1393.1,833.3,23
1012,S5,SKU-12,Haircare,69,112.75,2025-01-12 00:00:00,24,15,Fail,4.22,Bangalore,1535.92,7779.75,39
1013,S5,SKU-13,Haircare,34,378.42,2025-01-13 00:00:00,15,19,Pending,0.82,Bangalore,4519.56,12866.28,34
1014,S1,SKU-14,Haircare,52,265.2,2025-01-14 00:00:00,11,7,Pending,2.51,Mumbai,1358.9,13790.4,18
1015,S1,SKU-15,Haircare,95,146.74,2025-01-15 00:00:00,13,7,Fail,4.69,Bangalore,1790.09,13940.3,20
1016,S1,SKU-16,Skincare,10,280.41,2025-01-16 00:00:00,21,8,Pending,1.65,Mumbai,5798.41,2804.1,29
1017,S2,SKU-17,Cosmetics,19,347.9,2025-01-17 00:00:00,20,8,Pending,4.65,Kolkata,1904.19,6610.1,28
1018,S3,SKU-18,Cosmetics,58,364.36,2025-01-18 00:00:00,13,14,Pending,1.1,Chennai,4138.98,21132.88,27
1019,S2,SKU-19,Cosmetics,96,23.12,2025-01-19 00:00:00,24,15,Pass,0.73,Chennai,5882.47,2219.52,39
1020,S2,SKU-20,Cosmetics,1,150.64,2025-01-20 00:00:00,15,15,Pass,2.42,Chennai,2558.63,150.64,30
1021,S4,SKU-21,Haircare,69,41.64,2025-01-21 00:00:00,15,9,Pass,0.68,Chennai,596.34,2873.16,24
1022,S1,SKU-22,Cosmetics,4,128.35,2025-01-22 00:00:00,10,8,Pass,5.29,Chennai,1842.81,513.4,18
1023,S2,SKU-23,Skincare,16,65.47,2025-01-23 00:00:00,23,15,Fail,4.63,Chennai,5069.82,1047.52,38
1024,S2,SKU-24,Skincare,24,246.23,2025-01-24 00:00:00,17,18,Fail,4.5,Chennai,5255.35,5909.52,35
1025,S3,SKU-25,Cosmetics,80,148.28,2025-01-25 00:00:00,15,14,Pending,3.65,Kolkata,4726.86,11862.4,29
